,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
1962,157900,1952.0,915.0,2.0,1.0,173.0,2,551.1388379204893,"9552 S Greenwood Ave, Chicago, IL 60628",35,3720.0,0,0,1,0
1963,165000,1929.0,1600.0,3.0,1.0,103.0,2,551.1388379204893,"9035 S Marshfield Ave, Chicago, IL 60620",35,4687.0,0,0,1,0
1966,583000,1935.0,2908.0,3.0,3.5,200.0,2,244.0,"8939 S Oakley Ave, Chicago, IL 60643",35,7440.0,0,0,1,0
1967,181099,1961.0,1140.0,3.0,2.0,159.0,2,551.1388379204893,"9005 S Union Ave, Chicago, IL 60620",35,3123.0,0,0,1,0
1968,349000,1917.0,1979.0,4.0,2.0,176.0,2,244.0,"2314 W 112th St, Chicago, IL 60643",36,7501.0,0,0,1,0
1971,120000,1924.0,1170.0,2.0,1.0,103.0,1,551.1388379204893,"8529 S Elizabeth St, Chicago, IL 60620",34,3125.0,0,0,1,0
1972,179900,1972.0,1000.0,2.0,1.0,180.0,0,226.0,"5357 N Delphia Ave Apt 357, Chicago, IL 60656",35,1000.0,1,0,0,0
1973,310000,1950.0,1396.0,3.0,2.0,222.0,2,171.0,"5912 W Waveland Ave, Chicago, IL 60634",16,3746.0,0,0,1,0
1976,399999,1910.0,1600.0,3.0,1.5,250.0,2,288.0,"4826 W Pensacola Ave, Chicago, IL 60641",35,3250.0,0,0,1,0
1977,320000,1931.0,1865.0,4.0,2.5,172.0,2,288.0,"5529 N Parkside Ave, Chicago, IL 60630",35,3714.0,0,0,1,0
1979,257900,1950.0,1267.0,3.0,1.0,204.0,2,228.0,"10312 S Whipple St, Chicago, IL 60655",36,4200.0,0,0,1,0
1980,122000,1967.0,905.0,1.0,1.0,135.0,1,601.0,"7033 N Kedzie Ave Apt 707, Chicago, IL 60645",34,905.0,1,0,0,0
1981,254900,1954.0,1174.0,4.0,1.0,217.0,2,200.0,"5800 S Nagle Ave, Chicago, IL 60638",36,4861.0,0,0,1,0
1983,469000,1963.0,2000.0,2.0,2.0,235.0,2,288.0,"4527 N Kenneth Ave, Chicago, IL 60630",36,3724.0,0,0,1,0
1989,289900,1958.0,1152.0,3.0,2.0,252.0,2,228.0,"10941 S Kedzie Ave, Chicago, IL 60655",34,4375.0,0,0,1,0
1990,209900,1974.0,750.0,1.0,1.0,280.0,1,445.0,"2740 N Pine Grove Ave Apt 5G, Chicago, IL 60614",16,750.0,1,0,0,0
1994,514000,2001.0,1544.0,2.0,2.0,333.0,0,994.0,"41 E 8th St Apt 2101, Chicago, IL 60605",36,1544.0,1,0,0,0
2022,284900,1958.0,1400.0,4.0,2.0,204.0,2,551.1388379204893,"4917 S Keating Ave, Chicago, IL 60632",34,3781.0,0,0,1,0
